Interview Schedule - Round 3,,,,,,,,Sheet shared with students,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY NAME,,,,[Google],,,,START DATE,05-03-2024,,,,,,,,,,,,,,,
CR NAME & CONTACT DETAILS,,,,Adityasinh Chauhan - 8780117395,,,,END DATE,07-03-2024,,,3-12-18,,,,,,,,,,,,
,,,,Dhruv Savani - 7041657297,,,,,,,,,,,,,,,,,,,,
,,,,Meet Upadhyay - 8160115462,,,,,,,,,,,,,,,,,,,,
,,,,Mustafa - 9974363143,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the student,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student Id,Email,Program,Contact No.,Whatsapp No.,Alternate No.,Skype Id,,,,,,,,,,,,
1,Vihaan Sharma,05-03-2024,Completed,16:00,17:00,202001006,202001006@daiict.ac.in,BTech ICT,7934567890,7934567890,9903456789,live:.cid.q5w28sxh10dm,,,,,,,,,,,,
2,Meera Desai,05-03-2024,Completed,17:00,18:00,202001007,202001007@daiict.ac.in,BTech ICT,7945678901,7945678901,9904567890,live:.cid.j7p4ck2z9yq,,,,,,,,,,,,
3,Arjun Choudhury,05-03-2024,Completed,23:00,24:00,202001009,202001009@daiict.ac.in,BTech ICT,7956789012,7956789012,9905678901,live:.cid.r1g6tfvz8jn,,,,,,,,,,,,
4,Kavya Reddy,05-03-2024,Completed,22:00,23:00,202001012,202001012@daiict.ac.in,BTech ICT,7967890123,7967890123,9906789012,live:.cid.m9k3q7p1lwz,,,,,,,,,,,,
5,Advik Singh,06-03-2024,Completed,20:30,21:30,202001016,202001016@daiict.ac.in,BTech ICT,7978901234,7978901234,9907890123,live:.cid.v2f4cn8h5xb,,,,,,,,,,,,
6,Nandini Iyer,06-03-2024,Completed,21:30,22:30,202001018,202001018@daiict.ac.in,BTech ICT,7989012345,7989012345,9908901234,live:.cid.z6d1v7s3gnm,,,,,,,,,,,,
7,Aadhya Banerjee,06-03-2024,Completed,17:00,18:00,202003034,202003034@daiict.ac.in,BTech MNC,7901234567,7901234567,9910123456,live:.cid.y4t9q6k2cpj,,,,,,,,,,,,
8,Reyansh Joshi,06-03-2024,Completed,23:00,24:00,202011036,202011036@daiict.ac.in,MTech ICT,7913456789,7913456789,9911234567,live:.cid.n7j1w4f8gcx,,,,,,,,,,,,
9,Saanvi Khanna,07-03-2024,Completed,22:00,23:00,202002038,202001038@daiict.ac.in,BTech EVD,7924567890,7924567890,9912345678,live:.cid.f3g7xr2l6wm,,,,,,,,,,,,
10,Dhruv Shah,07-03-2024,Completed,20:30,21:30,202001040,202001040@daiict.ac.in,BTech ICT,7935678901,7935678901,9913456789,live:.cid.s5c9vb4j1rp,,,,,,,,,,,,
11,Ananya Nair,07-03-2024,Completed,21:30,22:30,202001042,202001042@daiict.ac.in,BTech ICT,7946789012,7946789012,9914567890,live:.cid.w8m2qd4h9fn,,,,,,,,,,,,
12,Yuvraj Kapoor,07-03-2024,Completed,16:00,17:00,202001044,202001044@daiict.ac.in,BTech ICT,7957890123,7957890123,9915678901,live:.cid.d2r5fh8b7zp,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
